ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
99,2,2,2,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4
100,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2
101,3,3,3,4,2,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,4
102,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,2
103,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,4,3
104,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1
105,3,3,4,3,3,4,4,4,3,4,5,4,3,3,3,2,3,2,3,3,3,3,2,2
106,3,4,3,3,3,3,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,4,5,4
107,2,3,3,2,2,3,3,3,3,3,4,2,4,4,3,4,4,3,3,4,4,3,3,4
108,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
109,2,3,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,3,3,2,2,2,2,2
110,3,4,5,5,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,5,5,4,4,5
111,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,3,3,3,2,2,2,3,3,2
112,1,2,3,2,2,3,2,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,2,2
113,2,2,2,2,2,1,3,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1
114,4,5,5,4,4,3,4,4,4,4,5,4,3,4,3,4,4,3,4,4,3,3,4,4
115,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,2,3,3,3,3
116,3,3,2,3,3,2,3,3,2,2,2,3,1,2,1,1,2,1,2,2,1,1,1,1
117,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2
118,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4
119,5,5,4,4,4,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3
120,4,4,4,4,3,3,3,4,4,3,3,3,4,4,3,4,4,3,4,4,3,4,4,3
121,4,5,4,4,4,5,4,3,4,5,4,5,3,4,4,4,4,4,4,3,3,4,3,4
122,4,5,4,4,4,5,5,5,4,4,5,4,3,5,4,4,4,5,4,5,4,4,4,4
123,2,3,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,4,3,4,3,4
124,3,3,3,4,4,3,4,3,3,3,4,4,3,4,4,3,4,3,3,3,5,3,3,4
125,4,5,4,3,4,4,4,4,4,3,4,4,3,3,4,3,4,3,3,3,1,3,4,3
126,4,4,4,4,4,4,4,4,4,4,5,3,4,3,4,5,4,4,4,4,5,5,4,5
127,3,4,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,4,3,2,2,3,3,3
128,5,4,4,5,5,5,5,5,4,5,5,4,3,3,3,4,4,3,4,4,4,3,3,4
129,3,3,2,3,2,4,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3
130,3,3,3,4,3,3,3,3,3,2,4,3,3,4,3,3,3,3,4,3,3,3,3,3
131,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4
132,3,3,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2
133,3,3,2,2,3,2,2,2,2,2,2,1,3,3,3,2,2,3,3,3,2,3,3,3
134,4,5,4,4,5,5,3,4,4,2,5,4,4,4,5,4,4,4,5,5,5,4,4,5
135,3,4,3,3,3,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3
136,4,4,4,5,4,4,5,4,4,4,4,3,4,4,4,4,4,5,3,4,4,4,4,4
137,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
138,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,2
139,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
140,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3
141,3,3,4,4,3,4,3,3,3,3,3,4,3,3,2,3,3,2,3,2,2,2,3,2
142,4,4,3,4,4,4,4,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3
143,3,3,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
144,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1
145,2,3,3,3,2,3,3,2,4,3,3,3,4,3,2,3,3,3,3,3,4,3,3,3
146,2,3,2,3,3,3,2,4,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,3
147,3,2,2,3,3,3,3,2,3,2,2,2,3,3,3,3,4,3,3,3,3,2,3,3
148,4,4,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4
149,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
150,4,3,4,3,4,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4
151,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,2,3,4,3,2,3,3,2,3
152,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,4,4,3,4,4,3
153,3,3,3,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2
154,3,3,4,3,3,4,4,3,3,3,4,3,4,3,4,4,4,3,3,4,4,4,3,3
155,4,3,3,3,3,4,3,3,4,3,3,3,4,4,3,4,4,4,4,3,5,4,5,4
156,3,3,2,3,3,3,3,3,3,3,4,3,3,4,4,4,4,5,4,5,3,5,4,4
157,5,4,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
158,4,4,5,5,5,5,4,5,5,4,5,5,4,3,4,4,4,4,4,4,5,4,4,3
159,1,2,2,2,2,1,2,1,1,3,1,1,1,1,2,1,1,1,1,2,1,2,1,1
160,3,3,4,3,4,3,4,3,3,3,3,3,3,2,3,2,3,2,3,4,2,2,4,3
161,3,4,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,2,3,3,2,2
162,3,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
163,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1
164,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2
165,3,3,4,3,3,3,3,4,3,3,3,2,2,2,2,1,1,1,2,2,1,1,2,2
166,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,4,3,2,3,2,2,3,3,2
167,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,4,4,5,4,4,4,5
168,4,3,3,3,3,3,3,2,2,3,3,2,4,4,3,4,3,4,4,4,4,4,4,4
169,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,5,4,4,4,4,4
