ID,Fecha,Trabajador,Categoria,Tiempo_Gestion_Min,Cantidad_Vendida,Stock_Inicial,Stock_Final
45,2025-04-26,Carla,Vitaminas,2,13,43,30
46,2025-10-29,Ana,Antibioticos,9,13,50,37
47,2025-04-07,Carla,Pediátricos,10,12,79,67
48,2025-05-02,Jorge,Analgésicos,7,16,147,131
49,2025-07-11,Jorge,Vitaminas,9,5,168,163
50,2025-10-11,Carla,Vitaminas,1,7,190,183
51,2025-12-03,Luis,Analgésicos,4,15,121,106
52,2025-10-25,Jorge,Pediátricos,5,7,30,23
53,2025-10-02,Luis,Vitaminas,3,16,181,165
54,2025-01-20,Carla,Pediátricos,8,7,42,35
55,2025-05-27,Jorge,Vitaminas,8,9,166,157
56,2025-03-18,Jorge,Pediátricos,5,5,155,150
57,2025-03-19,Carla,Pediátricos,7,11,54,43
58,2025-05-28,Carla,Pediátricos,8,20,114,94
59,2025-05-11,Jorge,Pediátricos,5,5,96,91
60,2025-06-04,Jorge,Vitaminas,10,20,195,175
61,2025-04-10,Jorge,Antibioticos,8,15,107,92
62,2025-05-30,Luis,Antibioticos,6,10,130,120
63,2025-09-26,Luis,Antibioticos,5,6,63,57
64,2025-07-08,Jorge,Antibioticos,6,8,164,156
65,2025-02-12,Luis,Vitaminas,4,3,88,85
66,2025-04-04,Carla,Pediátricos,10,4,67,63
67,2025-12-28,Carla,Analgésicos,8,20,121,101
68,2025-01-06,Jorge,Vitaminas,10,15,38,23
69,2025-12-08,Luis,Pediátricos,8,13,102,89
70,2025-11-20,Ana,Pediátricos,9,4,152,148
71,2025-03-09,Carla,Analgésicos,8,15,33,18
72,2025-12-12,Jorge,Antibioticos,7,11,147,136
73,2025-07-19,Carla,Vitaminas,3,8,190,182
74,2025-03-13,Jorge,Analgésicos,5,11,128,117
75,2025-06-24,Carla,Vitaminas,2,16,135,119
76,2025-06-06,Jorge,Analgésicos,7,16,30,14
77,2025-11-05,Luis,Vitaminas,3,1,195,194
78,2025-01-18,Jorge,Pediátricos,3,13,75,62
79,2025-07-06,Ana,Pediátricos,10,9,74,65
80,2025-05-06,Luis,Vitaminas,5,19,89,70
81,2025-02-18,Carla,Antibioticos,7,8,117,109
82,2025-03-05,Luis,Antibioticos,6,7,57,50
83,2025-08-21,Carla,Analgésicos,9,15,78,63
84,2025-10-27,Jorge,Antibioticos,6,19,198,179
85,2025-11-07,Luis,Analgésicos,5,18,70,52
86,2025-11-19,Ana,Antibioticos,9,20,164,144
87,2025-12-07,Luis,Pediátricos,9,12,140,128
88,2025-06-03,Luis,Analgésicos,4,18,193,175
89,2025-06-15,Jorge,Antibioticos,8,9,31,22
90,2025-03-10,Carla,Vitaminas,3,12,85,73
91,2025-12-23,Luis,Vitaminas,4,13,149,136
92,2025-03-26,Carla,Pediátricos,9,1,162,161
93,2025-02-03,Carla,Pediátricos,8,17,73,56
94,2025-11-15,Ana,Analgésicos,3,19,43,24
95,2025-07-10,Jorge,Vitaminas,10,5,187,182
96,2025-10-18,Luis,Analgésicos,5,7,162,155
97,2025-01-30,Carla,Pediátricos,8,5,21,16
98,2025-02-19,Carla,Pediátricos,7,2,66,64
99,2025-09-05,Luis,Analgésicos,3,13,32,19
100,2025-02-08,Carla,Pediátricos,10,11,40,29
101,2025-03-24,Jorge,Analgésicos,6,13,149,136
102,2025-07-30,Carla,Vitaminas,1,3,84,81
103,2025-07-05,Carla,Antibioticos,6,20,46,26
104,2025-03-11,Ana,Pediátricos,10,1,44,43
105,2025-12-29,Carla,Analgésicos,10,11,20,9
106,2025-11-18,Luis,Pediátricos,7,16,171,155
107,2025-03-19,Luis,Analgésicos,5,20,118,98
108,2025-04-20,Ana,Antibioticos,9,6,179,173
109,2025-02-01,Carla,Pediátricos,10,16,120,104
110,2025-06-01,Carla,Analgésicos,8,15,50,35
111,2025-04-10,Luis,Antibioticos,5,19,80,61
112,2025-03-26,Carla,Vitaminas,1,20,152,132
113,2025-08-14,Carla,Pediátricos,10,5,47,42
114,2025-01-19,Jorge,Analgésicos,5,12,39,27
115,2025-09-29,Carla,Pediátricos,10,14,137,123
116,2025-03-20,Carla,Vitaminas,1,14,169,155
117,2025-12-22,Luis,Analgésicos,5,8,20,12
118,2025-03-21,Jorge,Analgésicos,7,15,61,46
119,2025-02-06,Jorge,Vitaminas,10,6,140,134
120,2025-10-14,Carla,Analgésicos,8,2,200,198
121,2025-01-20,Jorge,Analgésicos,6,20,136,116
122,2025-04-03,Ana,Vitaminas,8,4,77,73
123,2025-09-29,Luis,Antibioticos,7,9,23,14
124,2025-11-04,Ana,Pediátricos,10,13,32,19
125,2025-09-24,Ana,Vitaminas,9,11,194,183
126,2025-09-18,Luis,Vitaminas,5,14,181,167
127,2025-07-29,Luis,Pediátricos,8,17,197,180
128,2025-02-16,Luis,Pediátricos,8,13,88,75
129,2025-05-15,Carla,Vitaminas,1,17,36,19
130,2025-01-29,Jorge,Vitaminas,8,2,156,154
131,2025-11-10,Luis,Antibioticos,7,8,93,85
132,2025-12-14,Jorge,Analgésicos,8,12,144,132
133,2025-12-09,Carla,Vitaminas,0,8,84,76
134,2025-03-10,Ana,Analgésicos,2,18,60,42
135,2025-07-21,Luis,Vitaminas,3,14,136,122
136,2025-05-30,Jorge,Vitaminas,8,20,42,22
137,2025-09-07,Ana,Antibioticos,9,7,110,103
138,2025-06-06,Luis,Antibioticos,6,15,175,160
139,2025-12-08,Jorge,Pediátricos,6,15,100,85
140,2025-04-26,Jorge,Vitaminas,9,6,105,99
141,2025-03-17,Ana,Analgésicos,2,20,189,169
142,2025-11-13,Jorge,Analgésicos,7,20,73,53
143,2025-06-19,Carla,Antibioticos,6,9,71,62
144,2025-06-07,Luis,Analgésicos,3,5,37,32
145,2025-02-13,Carla,Pediátricos,8,19,112,93
146,2025-04-05,Jorge,Antibioticos,8,17,94,77
147,2025-12-24,Luis,Antibioticos,8,4,57,53
148,2025-11-16,Luis,Pediátricos,6,13,162,149
149,2025-06-11,Ana,Pediátricos,8,9,25,16
150,2025-11-14,Jorge,Antibioticos,6,18,112,94
151,2025-04-12,Carla,Analgésicos,7,11,40,29
152,2025-08-17,Jorge,Analgésicos,5,7,159,152
153,2025-09-28,Luis,Vitaminas,3,14,167,153
154,2025-01-31,Luis,Antibioticos,7,15,24,9
155,2025-06-18,Ana,Pediátricos,10,16,85,69
156,2025-03-17,Ana,Pediátricos,9,12,197,185
157,2025-03-18,Luis,Antibioticos,8,6,30,24
158,2025-12-12,Jorge,Antibioticos,7,9,74,65
159,2025-02-13,Luis,Pediátricos,6,20,127,107
160,2025-01-08,Jorge,Pediátricos,5,19,147,128
161,2025-01-01,Ana,Pediátricos,8,15,121,106
162,2025-03-18,Ana,Analgésicos,2,10,131,121
163,2025-01-12,Ana,Pediátricos,8,10,47,37
164,2025-04-14,Luis,Analgésicos,6,19,61,42
165,2025-02-18,Ana,Analgésicos,1,16,84,68
166,2025-09-06,Ana,Vitaminas,7,19,123,104
167,2025-09-17,Jorge,Antibioticos,6,6,88,82
168,2025-01-08,Ana,Antibioticos,10,8,180,172
169,2025-04-23,Luis,Antibioticos,5,16,124,108
170,2025-11-01,Jorge,Analgésicos,7,11,149,138
171,2025-02-19,Luis,Pediátricos,6,10,188,178
172,2025-08-17,Ana,Antibioticos,8,10,142,132
173,2025-11-20,Luis,Antibioticos,5,14,125,111
174,2025-01-25,Luis,Vitaminas,4,5,157,152
175,2025-07-10,Jorge,Vitaminas,10,18,120,102
176,2025-10-17,Jorge,Antibioticos,9,11,95,84
177,2025-08-29,Jorge,Vitaminas,8,12,87,75
178,2025-11-17,Carla,Antibioticos,4,9,93,84
179,2025-11-17,Luis,Pediátricos,7,20,28,8
180,2025-06-27,Ana,Antibioticos,9,6,80,74
181,2025-06-16,Ana,Vitaminas,7,17,107,90
182,2025-09-19,Jorge,Pediátricos,5,6,103,97
183,2025-07-09,Jorge,Pediátricos,3,13,155,142
184,2025-11-23,Luis,Antibioticos,8,5,140,135
185,2025-05-23,Jorge,Vitaminas,9,14,69,55
186,2025-11-10,Luis,Antibioticos,8,16,166,150
187,2025-07-23,Jorge,Antibioticos,7,3,156,153
188,2025-08-24,Luis,Antibioticos,8,9,128,119
189,2025-10-23,Jorge,Analgésicos,5,3,120,117
190,2025-09-16,Carla,Analgésicos,10,17,162,145
191,2025-11-20,Jorge,Pediátricos,6,6,70,64
192,2025-06-18,Carla,Vitaminas,3,1,52,51
193,2025-12-27,Carla,Antibioticos,6,3,199,196
194,2025-08-31,Carla,Vitaminas,3,18,84,66
195,2025-12-24,Carla,Antibioticos,5,17,167,150
196,2025-01-05,Luis,Vitaminas,4,8,33,25
197,2025-10-05,Jorge,Vitaminas,8,13,200,187
198,2025-06-28,Jorge,Analgésicos,8,5,116,111
199,2025-02-01,Luis,Vitaminas,2,2,76,74
200,2025-11-16,Ana,Analgésicos,1,19,192,173
201,2025-11-21,Ana,Antibioticos,11,10,24,14
202,2025-10-25,Ana,Pediátricos,10,19,23,4
203,2025-06-24,Ana,Vitaminas,7,17,25,8
204,2025-06-20,Luis,Pediátricos,8,3,198,195
205,2025-11-19,Ana,Antibioticos,11,15,44,29
206,2025-02-03,Ana,Antibioticos,11,2,176,174
207,2025-06-18,Ana,Analgésicos,3,5,22,17
208,2025-07-18,Carla,Pediátricos,7,20,167,147
209,2025-06-05,Carla,Analgésicos,9,4,31,27
210,2025-12-05,Luis,Pediátricos,7,8,180,172
211,2025-11-08,Luis,Vitaminas,5,4,178,174
212,2025-02-01,Luis,Vitaminas,4,11,192,181
213,2025-07-16,Ana,Analgésicos,4,18,165,147
214,2025-07-20,Jorge,Pediátricos,4,4,143,139
215,2025-03-22,Ana,Pediátricos,7,4,24,20
216,2025-12-11,Carla,Analgésicos,9,14,178,164
217,2025-11-02,Ana,Analgésicos,2,6,188,182
218,2025-06-19,Ana,Analgésicos,4,20,30,10
219,2025-12-31,Luis,Pediátricos,7,12,134,122
220,2025-05-02,Luis,Pediátricos,9,8,128,120
221,2025-07-01,Carla,Pediátricos,8,6,154,148
222,2025-11-20,Ana,Analgésicos,4,19,74,55
223,2025-08-23,Luis,Antibioticos,6,19,43,24
224,2025-08-26,Luis,Antibioticos,7,3,194,191
225,2025-05-18,Ana,Vitaminas,6,8,57,49
226,2025-12-07,Carla,Analgésicos,9,14,84,70
227,2025-12-15,Carla,Vitaminas,1,13,181,168
228,2025-05-23,Luis,Vitaminas,3,11,143,132
229,2025-12-17,Carla,Antibioticos,5,13,127,114
230,2025-01-08,Ana,Vitaminas,8,3,121,118
231,2025-11-17,Jorge,Analgésicos,6,12,24,12
232,2025-10-29,Jorge,Antibioticos,9,13,85,72
233,2025-06-17,Ana,Analgésicos,1,15,33,18
234,2025-03-19,Luis,Pediátricos,7,1,150,149
235,2025-01-23,Luis,Pediátricos,8,16,78,62
236,2025-03-17,Ana,Antibioticos,11,17,61,44
237,2025-12-01,Carla,Analgésicos,8,16,125,109
238,2025-11-26,Ana,Antibioticos,11,1,146,145
239,2025-05-19,Jorge,Vitaminas,8,10,111,101
240,2025-03-19,Ana,Analgésicos,1,10,99,89
241,2025-04-27,Jorge,Antibioticos,6,1,157,156
242,2025-09-17,Jorge,Pediátricos,6,2,66,64
243,2025-12-19,Luis,Analgésicos,6,16,125,109
244,2025-03-14,Luis,Vitaminas,5,13,106,93
245,2025-09-14,Ana,Antibioticos,9,16,105,89
246,2025-04-16,Carla,Antibioticos,6,13,32,19
247,2025-07-13,Carla,Antibioticos,5,16,90,74
248,2025-08-23,Carla,Vitaminas,0,20,71,51
249,2025-07-19,Luis,Vitaminas,5,9,125,116
250,2025-07-22,Carla,Vitaminas,3,9,103,94
251,2025-01-22,Carla,Vitaminas,1,20,162,142
252,2025-10-31,Carla,Analgésicos,7,7,143,136
253,2025-07-25,Ana,Pediátricos,8,8,128,120
254,2025-06-02,Luis,Vitaminas,5,4,188,184
255,2025-12-04,Carla,Pediátricos,10,17,95,78
256,2025-06-08,Carla,Vitaminas,3,11,129,118
257,2025-07-23,Carla,Antibioticos,4,4,135,131
258,2025-08-04,Carla,Analgésicos,8,20,106,86
259,2025-12-11,Ana,Antibioticos,9,15,192,177
260,2025-12-03,Luis,Analgésicos,3,2,28,26
261,2025-01-03,Ana,Vitaminas,9,8,65,57
262,2025-06-23,Jorge,Pediátricos,6,18,160,142
263,2025-05-05,Carla,Pediátricos,8,11,147,136
264,2025-09-22,Luis,Analgésicos,3,8,122,114
265,2025-03-15,Luis,Analgésicos,3,6,63,57
266,2025-06-12,Luis,Vitaminas,4,11,23,12
267,2025-01-05,Luis,Vitaminas,2,16,79,63
268,2025-06-23,Luis,Pediátricos,7,10,136,126
269,2025-02-23,Luis,Antibioticos,7,13,157,144
270,2025-01-11,Jorge,Antibioticos,7,4,43,39
271,2025-04-15,Carla,Analgésicos,8,19,113,94
272,2025-06-02,Carla,Vitaminas,1,16,94,78
273,2025-05-04,Luis,Antibioticos,8,12,183,171
274,2025-04-18,Ana,Antibioticos,11,10,31,21
275,2025-09-26,Carla,Analgésicos,10,1,61,60
276,2025-02-01,Ana,Pediátricos,9,6,28,22
277,2025-05-25,Jorge,Pediátricos,4,1,53,52
278,2025-07-07,Jorge,Antibioticos,9,19,96,77
279,2025-04-12,Luis,Pediátricos,8,11,38,27
280,2025-09-26,Luis,Analgésicos,3,20,109,89
281,2025-02-05,Ana,Vitaminas,8,19,63,44
282,2025-10-30,Ana,Analgésicos,1,3,28,25
283,2025-02-02,Luis,Antibioticos,7,8,100,92
284,2025-03-14,Ana,Vitaminas,9,15,72,57
285,2025-06-10,Jorge,Antibioticos,9,8,131,123
286,2025-06-18,Luis,Antibioticos,7,12,139,127
287,2025-05-03,Luis,Analgésicos,3,18,169,151
288,2025-08-14,Luis,Vitaminas,5,13,70,57
289,2025-04-03,Carla,Antibioticos,5,12,80,68
290,2025-11-02,Carla,Pediátricos,7,7,200,193
291,2025-08-23,Jorge,Pediátricos,4,18,21,3
292,2025-04-02,Carla,Antibioticos,7,8,103,95
293,2025-09-03,Jorge,Antibioticos,8,12,187,175
294,2025-03-15,Carla,Vitaminas,3,18,78,60
295,2025-07-07,Ana,Pediátricos,7,12,124,112
296,2025-12-11,Ana,Vitaminas,9,17,132,115
297,2025-09-28,Jorge,Vitaminas,10,12,48,36
298,2025-09-25,Luis,Analgésicos,3,3,175,172
299,2025-05-29,Luis,Pediátricos,7,20,58,38
300,2025-03-08,Luis,Vitaminas,3,17,181,164
301,2025-09-09,Ana,Pediátricos,8,20,142,122
302,2025-06-23,Ana,Analgésicos,1,3,30,27
303,2025-11-27,Jorge,Antibioticos,7,15,65,50
304,2025-09-28,Carla,Antibioticos,7,15,183,168
305,2025-08-08,Luis,Analgésicos,4,20,141,121
306,2025-12-22,Ana,Pediátricos,7,6,41,35
307,2025-08-26,Ana,Antibioticos,8,14,102,88
308,2025-06-28,Jorge,Analgésicos,5,3,155,152
309,2025-09-20,Jorge,Vitaminas,11,17,172,155
310,2025-03-10,Luis,Antibioticos,8,1,192,191
311,2025-08-01,Luis,Antibioticos,8,17,72,55
312,2025-12-28,Luis,Analgésicos,5,1,112,111
313,2025-11-07,Ana,Pediátricos,9,7,161,154
314,2025-07-20,Carla,Vitaminas,2,8,20,12
315,2025-11-25,Ana,Vitaminas,7,7,132,125
316,2025-03-28,Luis,Vitaminas,3,18,125,107
317,2025-04-15,Jorge,Analgésicos,8,8,164,156
318,2025-02-20,Luis,Analgésicos,6,9,106,97
319,2025-11-27,Luis,Vitaminas,3,8,40,32
320,2025-09-20,Carla,Analgésicos,9,3,154,151
321,2025-05-21,Carla,Pediátricos,9,18,102,84
322,2025-05-04,Luis,Antibioticos,7,7,61,54
323,2025-04-10,Ana,Vitaminas,7,4,115,111
324,2025-09-16,Jorge,Vitaminas,8,8,37,29
325,2025-11-11,Ana,Antibioticos,10,6,46,40
326,2025-08-22,Luis,Vitaminas,3,15,164,149
327,2025-02-26,Carla,Pediátricos,7,18,166,148
328,2025-07-28,Jorge,Pediátricos,6,16,109,93
329,2025-03-17,Jorge,Analgésicos,5,6,152,146
330,2025-06-03,Carla,Analgésicos,7,9,179,170
331,2025-11-26,Carla,Pediátricos,8,19,71,52
332,2025-08-30,Jorge,Vitaminas,9,2,45,43
333,2025-01-29,Luis,Analgésicos,4,5,170,165
334,2025-04-12,Carla,Antibioticos,4,10,135,125
335,2025-11-08,Jorge,Vitaminas,10,1,135,134
336,2025-10-18,Ana,Pediátricos,8,6,145,139
337,2025-01-31,Ana,Antibioticos,10,20,24,4
338,2025-07-12,Luis,Analgésicos,5,17,43,26
339,2025-05-02,Luis,Antibioticos,8,18,53,35
340,2025-10-20,Luis,Vitaminas,5,20,84,64
341,2025-08-07,Luis,Analgésicos,5,4,191,187
342,2025-12-13,Luis,Analgésicos,3,4,72,68
343,2025-02-26,Carla,Antibioticos,4,13,120,107
344,2025-02-25,Luis,Vitaminas,5,15,161,146
345,2025-01-31,Ana,Pediátricos,9,19,193,174
346,2025-05-23,Ana,Pediátricos,10,7,31,24
347,2025-03-23,Jorge,Antibioticos,9,1,126,125
348,2025-12-28,Ana,Antibioticos,11,10,153,143
349,2025-12-29,Luis,Analgésicos,5,18,189,171
350,2025-10-27,Ana,Analgésicos,2,14,160,146
351,2025-10-24,Carla,Vitaminas,2,4,196,192
352,2025-01-16,Ana,Pediátricos,10,12,174,162
353,2025-07-22,Jorge,Analgésicos,6,20,144,124
354,2025-04-02,Jorge,Antibioticos,7,9,148,139
355,2025-01-03,Jorge,Antibioticos,9,14,40,26
356,2025-07-21,Carla,Pediátricos,7,5,98,93
357,2025-01-23,Luis,Analgésicos,6,16,83,67
358,2025-07-05,Jorge,Analgésicos,7,11,30,19
359,2025-12-03,Luis,Pediátricos,7,5,54,49
360,2025-08-17,Ana,Pediátricos,10,3,68,65
361,2025-10-25,Carla,Pediátricos,8,11,58,47
362,2025-10-08,Ana,Antibioticos,10,5,82,77
363,2025-01-13,Luis,Analgésicos,4,14,81,67
364,2025-08-13,Ana,Vitaminas,6,9,59,50
365,2025-06-25,Luis,Vitaminas,4,14,188,174
366,2025-09-25,Luis,Pediátricos,7,11,173,162
367,2025-11-12,Ana,Antibioticos,9,15,43,28
368,2025-09-21,Jorge,Pediátricos,4,11,142,131
369,2025-12-29,Jorge,Pediátricos,5,19,105,86
370,2025-11-25,Carla,Pediátricos,7,1,167,166
371,2025-08-19,Carla,Antibioticos,4,15,72,57
372,2025-09-15,Jorge,Analgésicos,7,3,69,66
373,2025-12-12,Ana,Analgésicos,2,5,127,122
374,2025-12-10,Jorge,Antibioticos,7,20,29,9
375,2025-10-03,Jorge,Antibioticos,8,1,135,134
376,2025-03-31,Carla,Vitaminas,2,5,188,183
377,2025-05-25,Ana,Pediátricos,9,5,72,67
378,2025-11-22,Ana,Vitaminas,9,19,171,152
379,2025-09-15,Ana,Antibioticos,9,19,194,175
380,2025-02-26,Jorge,Analgésicos,5,13,121,108
381,2025-09-19,Carla,Antibioticos,4,20,117,97
382,2025-10-27,Luis,Pediátricos,7,10,66,56
383,2025-01-31,Ana,Vitaminas,8,6,46,40
384,2025-05-04,Luis,Analgésicos,3,12,42,30
385,2025-02-02,Carla,Antibioticos,7,15,107,92
386,2025-04-29,Jorge,Vitaminas,8,3,60,57
387,2025-04-15,Jorge,Analgésicos,8,10,25,15
388,2025-02-03,Ana,Antibioticos,11,8,28,20
389,2025-04-13,Carla,Pediátricos,7,2,47,45
390,2025-01-12,Jorge,Analgésicos,7,20,192,172
391,2025-02-18,Jorge,Analgésicos,6,12,74,62
392,2025-10-16,Ana,Antibioticos,8,17,180,163
393,2025-04-22,Jorge,Analgésicos,7,13,164,151
394,2025-10-21,Ana,Vitaminas,6,16,28,12
395,2025-09-30,Luis,Vitaminas,5,18,200,182
396,2025-06-16,Ana,Pediátricos,8,3,138,135
397,2025-10-21,Ana,Antibioticos,10,8,91,83
398,2025-03-20,Carla,Antibioticos,4,9,37,28
399,2025-12-03,Jorge,Analgésicos,6,16,101,85
400,2025-07-30,Carla,Analgésicos,10,1,132,131
401,2025-10-27,Luis,Analgésicos,3,8,163,155
402,2025-03-16,Jorge,Analgésicos,8,4,120,116
403,2025-11-16,Carla,Pediátricos,8,10,195,185
404,2025-12-23,Luis,Analgésicos,5,2,170,168
405,2025-07-14,Jorge,Antibioticos,7,10,38,28
406,2025-04-04,Ana,Analgésicos,2,16,55,39
407,2025-11-26,Luis,Analgésicos,4,6,125,119
408,2025-11-30,Ana,Analgésicos,1,1,100,99
409,2025-12-17,Ana,Pediátricos,9,18,182,164
410,2025-10-29,Carla,Analgésicos,8,2,190,188
411,2025-06-24,Luis,Analgésicos,6,16,180,164
412,2025-02-11,Ana,Vitaminas,6,20,143,123
413,2025-01-20,Luis,Analgésicos,3,5,134,129
414,2025-03-27,Luis,Antibioticos,6,1,173,172
415,2025-01-27,Carla,Antibioticos,5,6,142,136
416,2025-01-18,Luis,Antibioticos,5,10,71,61
417,2025-11-13,Jorge,Antibioticos,8,12,131,119
418,2025-03-27,Ana,Pediátricos,9,6,135,129
419,2025-10-02,Jorge,Antibioticos,6,10,161,151
420,2025-01-08,Ana,Vitaminas,7,5,147,142
421,2025-06-08,Luis,Antibioticos,5,5,62,57
422,2025-01-24,Luis,Pediátricos,7,7,98,91
423,2025-10-23,Luis,Antibioticos,5,6,163,157
424,2025-11-10,Carla,Analgésicos,8,1,131,130
425,2025-11-23,Carla,Vitaminas,0,17,107,90
426,2025-09-02,Carla,Analgésicos,8,2,193,191
427,2025-06-10,Ana,Vitaminas,6,8,127,119
428,2025-03-25,Luis,Antibioticos,6,9,35,26
429,2025-07-05,Luis,Pediátricos,8,19,64,45
430,2025-06-03,Carla,Pediátricos,9,1,21,20
431,2025-09-21,Ana,Analgésicos,3,16,129,113
432,2025-06-14,Jorge,Vitaminas,9,7,22,15
433,2025-01-16,Ana,Analgésicos,3,9,68,59
434,2025-06-29,Jorge,Antibioticos,7,5,183,178
435,2025-12-06,Ana,Analgésicos,3,12,170,158
436,2025-02-08,Carla,Antibioticos,5,12,57,45
437,2025-03-29,Ana,Pediátricos,7,2,110,108
438,2025-05-22,Ana,Pediátricos,9,6,146,140
439,2025-11-03,Jorge,Antibioticos,9,13,74,61
440,2025-06-10,Ana,Vitaminas,9,15,88,73
441,2025-08-09,Jorge,Pediátricos,6,2,176,174
442,2025-06-12,Carla,Antibioticos,4,11,79,68
443,2025-10-01,Jorge,Antibioticos,7,19,68,49
444,2025-09-28,Jorge,Pediátricos,3,11,54,43
445,2025-07-29,Carla,Analgésicos,8,11,34,23
446,2025-03-26,Jorge,Analgésicos,7,16,22,6
447,2025-08-05,Luis,Vitaminas,4,1,55,54
448,2025-01-23,Jorge,Vitaminas,10,10,146,136
449,2025-07-04,Jorge,Analgésicos,7,11,53,42
450,2025-05-27,Jorge,Pediátricos,4,13,41,28
451,2025-05-12,Jorge,Antibioticos,7,6,74,68
452,2025-08-04,Luis,Vitaminas,5,17,21,4
453,2025-01-14,Luis,Pediátricos,8,1,60,59
454,2025-12-30,Jorge,Pediátricos,5,8,95,87
455,2025-06-16,Luis,Pediátricos,9,16,158,142
456,2025-12-13,Ana,Antibioticos,8,6,63,57
457,2025-02-02,Luis,Analgésicos,6,13,91,78
458,2025-10-08,Carla,Vitaminas,1,16,59,43
459,2025-08-20,Ana,Vitaminas,7,19,171,152
460,2025-11-10,Ana,Analgésicos,1,6,41,35
461,2025-09-09,Carla,Antibioticos,6,8,106,98
462,2025-01-22,Jorge,Vitaminas,10,11,91,80
463,2025-04-06,Luis,Antibioticos,8,3,199,196
464,2025-11-10,Jorge,Analgésicos,8,14,118,104
465,2025-03-20,Luis,Antibioticos,6,18,185,167
466,2025-05-09,Luis,Vitaminas,4,12,134,122
467,2025-12-15,Jorge,Antibioticos,8,5,131,126
468,2025-04-02,Ana,Analgésicos,2,15,87,72
469,2025-01-18,Carla,Pediátricos,8,10,104,94
470,2025-09-04,Carla,Analgésicos,7,10,57,47
471,2025-01-21,Carla,Antibioticos,6,7,21,14
472,2025-05-03,Ana,Vitaminas,8,8,96,88
473,2025-01-18,Carla,Analgésicos,7,8,167,159
474,2025-05-18,Jorge,Pediátricos,6,4,147,143
475,2025-10-06,Jorge,Pediátricos,3,15,51,36
476,2025-12-18,Luis,Analgésicos,6,1,198,197
477,2025-08-28,Luis,Vitaminas,4,10,53,43
478,2025-05-25,Carla,Analgésicos,10,20,63,43
479,2025-10-22,Ana,Vitaminas,7,8,200,192
480,2025-02-21,Luis,Analgésicos,3,7,176,169
481,2025-04-15,Carla,Pediátricos,9,1,129,128
482,2025-08-05,Ana,Analgésicos,3,5,72,67
483,2025-04-22,Carla,Analgésicos,8,2,66,64
484,2025-02-08,Luis,Antibioticos,6,18,116,98
485,2025-10-14,Jorge,Antibioticos,6,9,161,152
486,2025-10-08,Jorge,Antibioticos,7,10,145,135
487,2025-10-27,Jorge,Analgésicos,8,3,94,91
488,2025-12-14,Luis,Vitaminas,2,17,54,37
489,2025-07-10,Carla,Pediátricos,9,1,35,34
490,2025-05-08,Jorge,Pediátricos,3,6,190,184
491,2025-07-24,Ana,Antibioticos,11,16,74,58
