ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
158,4,5,4,4,4,4,5,5,3,4,4,4,4,4,4,3,4,3,3,5,4,3,2,4
159,5,4,5,3,5,5,4,3,4,4,4,5,5,4,5,3,5,3,4,3,5,4,4,3
160,2,4,2,3,3,5,4,4,4,4,4,5,3,3,4,4,4,4,5,5,3,4,5,3
161,3,4,3,5,5,5,3,1,2,1,4,5,3,4,4,4,4,2,4,5,3,5,4,5
162,2,4,5,2,4,5,4,5,4,4,4,4,5,1,1,4,4,5,3,2,4,3,3,5
163,4,5,5,2,4,4,3,4,1,4,4,4,5,3,1,4,5,3,4,2,5,4,3,4
164,5,4,4,4,1,3,4,5,5,4,3,5,4,5,5,4,4,4,5,2,4,3,4,5
165,4,5,4,2,2,3,5,4,5,3,4,4,4,4,4,4,3,4,4,5,4,5,4,4
166,3,4,4,5,4,4,4,5,4,4,1,4,5,4,5,2,3,5,3,5,5,5,2,5
167,5,5,5,4,5,4,4,4,5,4,4,5,4,5,4,2,4,4,4,3,5,3,4,3
168,2,1,1,4,4,4,1,4,4,2,2,4,3,1,5,5,5,5,5,4,4,5,5,5
169,5,5,4,4,4,4,1,1,4,4,4,3,4,4,5,4,5,5,2,1,4,4,3,4
